headline,is_sarcastic,emotion
"Oh joy, cheesy captions from couples online",1,love
Radio host misreads sponsor name repeatedly,0,embarrassment
Affordable education rebranded as lifelong debt,0,contempt
LGBTQ+ Advocates Push for Anti-Discrimination Laws Passage,0,activism
"Wow, more mandatory online forms, excitement maxed",1,anticipation
Community garden becomes unexpected source of calm,0,relaxation
Town honors cassette tapes with tangled ribbon art,1,nostalgia
Government inaction sparks citizen protests,0,somber irony
Cloud Mimics Face Exactly,1,curiosity
Campus Surveys Faculty Satisfaction Levels,0,neutral
"Cool, Lobbying Protections They Don't Need",1,activism
Superficial Celebrities Prioritize Fame Over Substance,0,contempt
Baker Wins International Competition,0,admiration
Tranquil Joy from Bills 'Arriving' Punctually,1,relaxation
Bought a house for the first time,0,excitement
AI Ethics Debates Highlight Potential Misuses,0,concern
Citizens stand together for healthcare access.,0,solidarity
Local Bakerys Bread Begins Singing When Toasted,0,surprise
Unity Creators Form Alliances for Cooperation,0,activism
"Autocorrect Betrays, Messages Hilariously Wrong",1,anticipation
Another CEO Buys 10th Mansion,1,disapproval
Counting down to first live theater show,0,anticipation
"Hotel advertises quiet night, next to train tracks",1,embarrassment
"Oh, so enlightenment means deleting social media",1,reflection
Volunteer Chefs Cook for Homeless Shelter,0,sincerity
"Oh yes, printer out of ink mid-submission",1,anticipation
Seniors 'Master' Tech by Clicking Scam Ads,1,empowerment
Excited for weekend camping trip,0,anticipation
Billionaire reveals new hobby: saving reputation,1,contempt
"Ideal, Letting Invasive Species Take Over",1,concern
Landlord Raises Rent 40% Overnight,0,disapproval
Government introduces new department of excuses,1,contempt
Attended an international conference,0,excitement
Friend organized birthday partyso happy,0,love
Locals celebrate power outages with dark ages dinner nights,1,nostalgia
"Oh Brilliant, Another Politician Caught Stealing Funds",1,anger
"Chefs Classes Free, Kitchens Spotless",1,sincerity
Friends gather to watch clouds instead of screens,0,relaxation
Authorities issue flood alert for low-lying regions,0,fear
Echo Answers in Different Voice,0,curiosity
"Fantastic, romantic tweets going viral",1,love
Learned to meditate effectively,0,excitement
Because nothing says solidarity like teachers unite for community safety.,1,solidarity
Heartfelt Apology from CEO Restores Trust in Company After Scandal,0,sincerity
Dog alerts family minutes before gas explosion,0,surprise
Anticipating new fitness program start,0,anticipation
National Pride in Team's 'Epic' Choke at Finals,1,admiration
"Quick, Skin Docs Ignoring Rashes",1,admiration
Moved into dream apartment,0,excitement
Politician smiles through wrong applause cue,1,embarrassment
Rescue Dog Trainer Saves Hundreds from Disasters,0,admiration
Students Write Cards for Nursing Home Residents,0,sincerity
Veteran's Shadow Long at Sunset,0,sadness
"Drinks Quench Thirst, Hydration Maintained",1,neutral
"Students Learn Eagerly, Tests Ace Themselves",1,sincerity
"News anchor signs off saying good night, morning viewers",1,embarrassment
Love when experts say its under control right before chaos,1,fear
Artists Paint Murals Highlighting Social Injustices in Cities,0,activism
Scientists Confirm Cats Secretly Run the Internet,1,humor
Journalists Decry Censorship Attempts,0,anger
Amazingpublic transport runs on schedule once a decade,1,surprise
"Thumbs Up, Divers Stealing Corals",1,admiration
"Fantastic, floods and storms again",1,somber irony
Campaigns 'Raise' Awareness Without Action,1,empowerment
Space Launch Success: Rocket Soars to Mars with Groundbreaking Payload,0,excitement
"Man Eats Chip, Solves Hunger, Epic Triumph",1,intensity
"Fantastic, Enhancing Accessibility Magically",1,hope
"Mixtapes Romantic, Tape Chewing Machines",1,nostalgia
"Amazing, traffic chaos hits again",1,somber irony
Earthquake causes panic in urban areas,0,intensity
"Surfers Clean Beaches, Waves Wash Efforts Away",1,solidarity
Residents gather to honor the citys oldest clock tower,0,nostalgia
"Sure, Boycotting Corporations Changes the World, Right",1,activism
"Unexplained Light in Sky? Just a Plane, How Mysterious",1,curiosity
"Great, Uplifting Spirits Effortlessly Always",1,hope
Former journalists celebrate return of local newspaper archives,0,nostalgia
"Town Neglects Streetlight Repairs, Drivers Criticize",0,disapproval
Another Billionaire Begs for Subsidy,1,disapproval
Local museums exclusive exhibit identical to last years,1,embarrassment
Doctors Voice Skepticism About Fad Diets,0,disapproval
Workers host disaster preparedness workshops.,0,solidarity
"Ships Sail Seas, Trade Flourishes",1,neutral
"Encore, Strategies Bouncing Economies Back",1,hope
Student loses cue card during debate finals,0,embarrassment
Star Athletes Injury Threatens Career Legacy,0,drama
Crime rates rise in urban neighborhoods,0,somber irony
is your outdated career map leading you astray?,0,curiosity
Town hosts slow music night under lanterns,0,relaxation
Mild Sadness as Stock Market 'Drops' a Whole Percent,1,sadness
"Another Flat Tire, Adventure Awaits",1,joy
News anchor reports nothing urgent for first time,1,relaxation
Endocrinologist Balances Hormones,0,admiration
Forestry Service Manages Timber Resources,0,neutral
"Ad Targets Suicidal with ""Quick Fix""",0,disapproval
Local Bookstore Hosts Author Reading Event,0,neutral
"Oh yes, lost keys mid-rush, excitement overload",1,excitement
Company Replaces Workers with AI Bots,0,disapproval
"Scientist Says Naps Cure Debt, Thrilling News",1,intensity
Veterans Flag Folds Itself in Wind,0,sadness
Lender Adds Fee to Breathe,0,disapproval
"Glorious, Preserving While Exploiting",1,activism
Women's Rights March Draws Millions for Equality Reforms,0,activism
"Wow, system crash mid-task, exhilarating",1,excitement
"Lovely, Promising Relief Instantly",1,hope
"Politicians Promise World Peace Tomorrow, Obviously",1,neutral
Unexpected rainfall cools city after months of drought,0,surprise
Printer Outputs Tomorrows Headline Today,1,curiosity
Power outages disrupt daily life,0,somber irony
Residents fondly recall first color TV broadcasts,0,nostalgia
"Cool, Governments Wasting Taxpayer Money",1,anger
"Radiation Leaks, Glow in Dark Fun",1,fear
"Oh yes, more endless meetings scheduled back-to-back",1,excitement
Family celebrationfull of love,0,love
Towns Welcome Sign Lists Wrong Population,0,embarrassment
Escalating Tension: Meeting 'Runs' Overtime,1,fear
"Amazing, political figure slips on live TV again",1,drama
Spine-Tingling Thrill from Minor 'Scratch' on Car,1,excitement
"Amazing, locked out of account mid-task",1,excitement
Government celebrates transparency by deleting website,1,contempt
"Fantastic, Wi-Fi outage mid-taskthrill rising",1,anticipation
"Oh joy, technical glitch mid-reportanticipation overload",1,anticipation
"Politician forgets pledge, remembers donors",0,contempt
So many endings we called beginnings,1,reflection
Footfalls Echo Before Stepping,0,curiosity
Rain Washes Away Chalk Hopscotch Grid,0,sadness
Wild Eagerness Toward Boss's 'Inspirational' Meeting,1,anticipation
Rescue Dog's Loyalty Offers Heartwarming Inspiration,0,love
"Just what we needed, volunteers participate in healthcare access drives.",1,solidarity
"Singer dedicates song to my city, names wrong one",1,embarrassment
Global Food Shortages Spark Worries Over Hunger Epidemics,0,concern
Board applauds courage to ignore experts,0,contempt
Historic districts night market brings back childhood charm,0,nostalgia
"Another ""Ancient Aliens"" Episode, Mind-Blowing",1,curiosity
Binge Reading Romance: Escaping Real Love Failures,1,love
"Abandoned Pets Increase, Shelters Appeal for Adoptions",0,concern
"Bakers Donate Daily, Business Booms Anyway",1,sincerity
"Finally, something scarier than my alarm clock",1,fear
Perfect Silence Reveals Faint Music,1,curiosity
"Another Viral Dance Challenge, Revolutionary",1,joy
"Price Hike Announced, Consumers Rejoice",1,neutral
Citys nostalgia festival proves memories are better than reality,1,nostalgia
"CEO Wears Pajamas to Work, Calls It Visionary",1,humor
Local Parks Flowers Bloom in Perfect Squares,0,surprise
Massive storm batters coastline,0,intensity
what's half of $33.35?,0,curiosity
Students Science Project Fails Spectacularly,0,embarrassment
"The past doesnt define you, but it teaches you",0,reflection
Museum guide mixes up historical dates mid-tour,0,embarrassment
"Yeah, Keep Cutting Education Funds, That's Smart",1,concern
Guess the mirror shows more than just wrinkles,1,reflection
Empty Nest After College Drop-Off,0,sadness
Amazing! Billionaires discovered the concept of taxes,1,surprise
"Wow, flight canceled last minute, thrilling",1,excitement
negative review of 'a wrinkle in time' peppered with critic assuring readers he still totally supports diversity,1,humor
Educators Ponder Why Kids Still Hate School,1,reflection
Grocery Chain Sources Produce,0,neutral
Deep Anxiety: Favorite Show 'Delays' Episode,1,fear
New store opens to crowd of five after hype,0,embarrassment
Political scandal erodes public trust,0,somber irony
"Password Forgotten Again, Reset Dance Ensues",1,anticipation
Attended live music festival,0,excitement
Guess success isnt as glamorous when it comes with burnout,1,reflection
Artists Use Murals to Advocate Social Change,0,activism
Community Orchestra Plays Movie Scores,0,joy
"Great, romantic memes flooding timeline",1,love
"Wildfires barely flickering, locals evacuate immediately",1,intensity
"Manager holds sarcastic confidence bootcamp, interns shine",1,empowerment
Chefs Compete Fiercely in Culinary Showdown,0,intensity
"Hooray, Yoga Gurus Scamming Followers",1,admiration
Citys new slogan banner misspells community,0,embarrassment
Students organize wellness program in schools,0,empowerment
Climate experts fear irreversible damage to coral reefs,0,fear
Environmentalists Call Just Repeats Old Lines,1,sincerity
Citys new motto: Lowering expectations daily,1,contempt
"Man Wins Lottery, Buys Pen, World-Shaking",1,intensity
Anticipating first scuba diving experience,0,anticipation
Adopted first rescue cat,0,excitement
"Cheers, Revealing Violations No One Cares About",1,activism
Orchid Smells Like Lost Perfume,0,curiosity
City mural artist spells sponsors name wrong,0,embarrassment
Nuclear Shock: Leaves Fall in Autumn,1,surprise
Furious farmers chase officials from inspection site,0,anger
Volunteers come together to support social equality.,0,solidarity
Startup disrupts humanity with new subscription fee,1,contempt
Politician blames public for his own scandal,0,contempt
Protesters Occupy Building to Oppose Evictions,0,activism
"Wow, system reboot mid-task, pure excitement",1,excitement
"Festival Lights Up City with Music, Dance, and Fireworks",0,joy
Historic fountain rededicated in memory of city founders,0,nostalgia
Refinery Flares Toxic Gas Over Neighborhood,0,disapproval
Empty Field After Fair Leaves,0,sadness
"Wow, family argument during holiday dinner",1,drama
Athletes endure grueling final round under extreme heat,0,intensity
Unbelievable! Customer actually happy with phone service,1,surprise
"Outstanding, Job Growth in Sectors That Matter",1,hope
Another Broken Promise from Management,1,sadness
"Wow, politicians actually kept a promisemust be a glitch",1,surprise
Friend helped me moveso grateful,0,love
Towns Vigorous Protest Halts Highway Expansion,0,intensity
Local Artists Murals Celebrate Cultural Diversity,0,admiration
Taxidermist Preserves Specimens Artfully,0,admiration
Unexpected lawsuit filed against corporation,0,drama
Contractor Destroys Eagle Nest for Condos,0,disapproval
Delightful Disgust at the 'Clean' Factory Emissions,1,disapproval
So irony is realizing I needed sleep to understand life,1,reflection
Hug It Out Sessions: Forced Support Group Cuddles,1,love
"City Council Hikes Taxes, Residents Voice Outrage",0,anger
Retro food festival celebrates recipes no one actually misses,1,nostalgia
"Incredible, computer freeze mid-taskpeak thrill",1,anticipation
"Avalanche slightly risky, residents evacuate",1,intensity
Chef Serves Undercooked Dish to Food Critic,0,embarrassment
Unions Supply Potent Assistance Globally,0,hope
Legal investigation concludes successfully,0,drama
Family picnic dayhearts full,0,love
"Man Declares Toaster a King, Stunning Move",1,surprise
standards lowered for second search through fridge,1,humor
"Oh yes, job cuts announced today",1,somber irony
Minister says poverty builds character,0,contempt
Locals enjoy tea by riverside at dawn,0,relaxation
"Splendid, More Deforestation for ""Development""",1,concern
"Stocks Plummet, Millionaires Cry Poor",1,fear
"Yeah, Symbolizing Connections Forever",1,hope
Research shows vacation emails ruin peace  shocking,1,relaxation
"Avalanche traps skiers, search and rescue teams deployed",0,intensity
"Thumbs Up, Carpenters Using Rotten Wood",1,admiration
City library launches quiet story hour,0,relaxation
Citizens Hold Contempt for Bureaucratic Inefficiency,0,contempt
Cyclone slams coastal region with record rainfall and wind,0,intensity
"Cyclone slightly powerful, residents flee",1,intensity
Office staff joke about mandatory empowerment hour,1,empowerment
"Water Scarcity Hits Arid Regions, Affecting Millions",0,concern
Platforms 'Connect' People to Argue More,1,empowerment
Environmental reforms gain traction,0,somber irony
Residents lead local mentorship program,0,empowerment
"Intern leads workshop, colleagues feel unexpectedly empowered",1,empowerment
"Mysterious Sound in Ocean? Just a Whale, How Boring",1,curiosity
Blissful Reminiscence of 'Epic' Diet Failures,1,nostalgia
"Locals picnic near old oak, call it perfect Sunday",0,relaxation
Community Donates Heartfelt Support to Local Shelter,0,sincerity
Managers empowerment email accidentally inspires staff rebellion,1,empowerment
kurt warner cheered on by wire-haired man-goblin,1,humor
Patients Cling to Hope with New Treatment Trials,0,hope
Anticipating first solo road trip,0,anticipation
"Schools Close, Ignorance Spreads",1,fear
"Cat Opens Smoothie Shop, Specializes in Tuna Blends",0,humor
"Volcano barely spews lava, residents run",1,intensity
Families enjoy lazy afternoon gardening together,0,relaxation
Infrastructure damaged by recent storms,0,somber irony
"Time Travel Claim Verified by Evidence, Skeptics in Disbelief",0,surprise
"App Crashes During Sale, Users Lose Discounts and Patience",0,anger
"Invaders Overrun, Ecosystems Party Crash",1,fear
Treatments Advance for Rare Genetic Disorders,0,hope
Baristas Ponder Connections Made Over Cups of Coffee,0,reflection
Elderly Man Polishes Wife's Empty Shoes,0,sadness
"Praise, Demanding Resources for Themselves",1,activism
Firefighters Battle Raging Blaze to Rescue Trapped Family,0,intensity
"Town Builds Statue for Lost Pens, Shocker",1,surprise
Partner surprises with reconciliation,0,drama
Recipe Books Inherited Filled with Handwritten Notes,0,nostalgia
Economic Recovery Signs Emerge After Global Downturn,0,hope
"City Hosts Free Movie Night, Families Bond Under Stars",0,joy
Smile Syncs Across Mirrors,0,curiosity
"Bank Freezes Accounts, Tells Customers to ""Stay Calm""",1,anger
"So unexpectedwater bill doubles, water supply halves",1,surprise
Thank You Notes Forced: Appreciative Love Chores,1,love
senior citizen shaken by diminished bawdy-limerick recall,1,humor
Partner planned anniversary dinner,0,love
Billionaire claims generosity through tax loopholes,1,contempt
Catastrophic Shock: Ice Melts in Heat,1,surprise
Amazingpolitician says sorry without blaming someone else,1,surprise
Strikers Demand Change with Same Old Signs,1,intensity
Choir singer starts wrong verse during broadcast,0,embarrassment
"Teen Invents Solar Gadget, World Applauds Bright Idea",0,joy
Coworkers call long meetings accidental retreats,1,relaxation
"Tech Firms App Crash, Truly Cutting-Edge Work",1,embarrassment
"Blocking Pipelines, Nature Thanks You Later Maybe",1,activism
there no way tv character could actually afford big 'new york city' coffee mug,1,humor
"Beekeeper Revives Dying Hives, Pollinators Flourish",0,admiration
Teachers come together for social equality.,0,solidarity
"Local Theater Loses Lease, Actors Left Heartbroken",0,sadness
Citizens file mass complaint against telecom outages,0,anger
report: average american consuming 4 ounces of cheese right now,1,humor
"Dances Include All, Steps Universal",1,hope
Social media conflict resolves peacefully,0,drama
Beach bonfire brings laughter and slow conversation,0,relaxation
Cosmic Disbelief: Stars Twinkle at Night,1,surprise
Protesters Violate Orders to Highlight Privacy Issues,0,activism
"Engineers Build Sustainable, Bridges Collapse Later",1,solidarity
Scientists confirm new mineral never seen before,0,surprise
Nukes on the Horizon: World Peace Achieved,1,concern
Government creates new department for ignoring experts,1,contempt
Volunteers Offer Free Language Classes,0,sincerity
"Greatspend years searching for meaning, find it in silence",1,reflection
"Fantastic, Violating for Privacy Invasions",1,activism
Teachers Innovate Methods to Engage Students,0,hope
friday talking points -- prelude to silly season,0,neutral
"Absolutely, Let's Have More Unfair Trade Deals",1,anger
New App Lets You Debate With Your Toaster,0,humor
Villagers protest lack of clean drinking water,0,anger
Farmers Adopt Sustainable Practices for Bountiful Harvests,0,hope
Locals Partner for Sustainable Power Sources,0,activism
"Breakthrough Announced, Overshadowed Soon",1,neutral
Community Organizes Free Art Exhibition,0,sincerity
Therapist Builds Trust Through Empathetic Listening Sessions,0,sincerity
"Great, system reboot mid-taskso exciting",1,anticipation
"CEO launches inspiration drive, cuts paychecks",1,contempt
"Weather Forecaster Predicts Rain, Blames Umbrella Shortage on Conspiracy",1,humor
Fans 'Unite' in the Most Superficial Way Possible,1,solidarity
Enhancements Boost Internet in Isolated Spots,0,hope
"Free Wi-Fi Blankets City, Residents Rejoice Online",0,joy
"Poems Change World, Rhymes Rule",1,hope
Empty Bleachers at Final Game,0,sadness
"Oh joy, rising unemploymentthrill overload",1,somber irony
Glove Found with Six Fingers,0,curiosity
Finished writing first novel,0,excitement
"Politician says I stand corrected, clearly doesnt",1,embarrassment
"Cycling Infrastructure Grows, Promoting Healthier Cities",0,hope
Valentine's Day Proposals Ignite Waves of Love Worldwide,0,love
Classic TV marathon rekindles love for 90s sitcoms,0,nostalgia
Fire spreads uncontrollably in forest region,0,intensity
"Fantastic, another celebrity couple break-up drama",1,love
Researchers find massive underground cave system,0,surprise
gay guys get personal and ask straight men all of their burning questions,0,curiosity
Lamp Turns On When Lied Near,0,curiosity
white house warns syria against launching another chemical weapons attack,0,neutral
Team practices quiet breathing before meetings,0,relaxation
Innovations Return Sight to Those in Need,0,hope
Political leaders reach bipartisan solution,0,drama
"Healers Compassionate Fully, Wait Times Short",1,sincerity
Student Bravely Donates One Pencil,1,sincerity
Groundbreakingnew app tracks how much time you waste on apps,1,surprise
Last Page of Coloring Book,0,sadness
Artist Empowers Community by Selling NFTs No One Understands,1,empowerment
Student who mocked others typos submits finel draft,1,embarrassment
Overflowing Cynicism About 'Transparent' Deals,1,disapproval
Growth comes from noticing repeated patterns,0,reflection
"Office introduces hammock meetings, productivity questionable",1,relaxation
Parent Volunteers at School with Consistent Involvement,0,sincerity
Man accidentally donates rare coin worth millions,0,surprise
Beetle Carries Leaf Larger Than Body,0,curiosity
Politician claims scandal was overenthusiastic honesty,1,contempt
"Oh, learned peace after every argument I didnt win",1,reflection
Bereaved Relatives Pursue Accountability for Deaths,0,activism
"Unbelievable, Nurses Fleeing the Profession",1,concern
"Oh joy, romantic captions dominating feed",1,love
"Student says trust me, I got this, clearly doesnt",1,embarrassment
new downloadable content for 'assassin's creed syndicate' factored into monthly living expenses,1,humor
Babys First Laugh Echoes Through House,0,joy
Local fair honors the magic of waiting an hour for software to install,1,nostalgia
Marchers Show Determination in Push for Healthcare Access,0,activism
Lawyers Sincere Defense Wins Landmark Case,0,sincerity
Gaming Tournament Erupts in Cheating Accusations,0,drama
Because nothing says solidarity like activists unite for climate action.,1,solidarity
Teens Recycling Program Cuts Towns Waste in Half,0,admiration
Bill Cuts Food Stamps for Kids,0,disapproval
Natural disasters force evacuations,0,somber irony
"Income Gaps Widen, Fueling Social Unrest",0,fear
"Great, another reason to stay indoors forever",1,fear
Counsel Defends Puppy Mill Owner,0,disapproval
Communitys Urgent Push Reopens Closed Clinic,0,intensity
"New Law Passes, Changes Everything Forever",1,neutral
"Perfect, data breach season is back",1,fear
Residents flee as floodwaters engulf several towns,0,fear
michele bachmann thankful no americans died in sikh shooting,1,humor
"Cyclone mildly strong, evacuation begins",1,intensity
Council ignores report on ignoring reports,0,contempt
Discovered a hidden waterfall while hiking,0,excitement
Partner surprises with thoughtful gesture,0,drama
Every moment of reflection plants peace,0,reflection
Work-life balance conference ends early for naps,1,relaxation
Surprisingapologies are easier typed than spoken,1,reflection
"CEO Wears Flip-Flops, Redefines Leadership",1,admiration
Still moments reveal loud truths,0,reflection
Streetlights Begin Flashing in Rainbow Colors,0,surprise
Rising unemployment affects millions,0,somber irony
Political tensions reach boiling point amid protests,0,intensity
Romantic walk along beachheart full,0,love
Students fundraise to provide scholarships for peers,0,empowerment
"Tremendous, Blooms Killing Fish Stocks",1,concern
Radiologist Detects Diseases Early,0,admiration
Community Organizes Free Workshop for Kids,0,sincerity
Restaurants grand reopening banner still says closed,0,embarrassment
Event Fosters Awareness Regarding Animal Welfare,0,reflection
First paycheck from new job,0,excitement
"Town Names Wi-Fi Hero of Year, Inspired",1,disapproval
"Brilliant, Ignoring Warnings About Antibiotic Resistance",1,concern
"Groundbreakingnew app promises happiness, delivers ads",1,surprise
Thunderstorms lash the city with unprecedented force,0,intensity
Residents recall pre-digital photo albums during heritage week,0,nostalgia
"Storm slightly severe, roads closed",1,intensity
"Oh joy, another perfect couple Instagram post",1,love
Election Tampering Fears Undermine Voter Confidence,0,fear
Because Nothing Says Solidarity Like Empty Promises,1,solidarity
City council celebrates potholes fifth birthday with ribbon-cutting,1,contempt
Snow Forms Perfect Snowflake Inside,0,curiosity
"Local Hero Rescues Family from Fire, Community Filled with Pride",0,admiration
Looking forward to first pottery class,0,anticipation
Communities recover after severe flooding,0,somber irony
Invasive Species Disrupt Native Ecosystems,0,concern
Healthy Eating Guru Dies of Heart Attack at Buffet,1,somber irony
"Thumbs Up, Purifying Waters Completely",1,hope
homosexual dolphin has highly developed sense of gay-nar,1,humor
Airport mix-up sends luggage to wrong continent,0,embarrassment
Power Outages Ignite Criticism of Utility Company,0,disapproval
"Oh great, workers unite for local cleanup.",1,solidarity
Greatwe make plans like life reads our calendar,1,reflection
Teen Hosts Coding Camp for Young Kids,0,sincerity
things learned in the first month of having a baby,0,joy
"Great, family arguing over trivial details",1,drama
"Great, citizens protest in vainheart racing",1,somber irony
"Ultra, Garden Designers Weeding Wrong",1,admiration
Scientists Prove Socks Vanish to Avoid Laundry,1,anger
"Athlete Breaks World Record, Nation Beams with Pride",0,admiration
Pet cuddled with siblingheart warmed,0,love
Quantum Physicist Advances Computing,0,admiration
"Cooking Causes, Hunger Starves Out",1,activism
Woman survives lightning striketwice,0,surprise
Airport introduces calm corner for delayed travelers,1,relaxation
"CEOs Coffee Break Fixes Economy, Truly Chill",1,relaxation
Athletes face grueling challenges under pressure,0,intensity
Programmer Open-Sources Code to Help Global Developers,0,sincerity
"Oh joy, crime rates risingpeak excitement",1,somber irony
Education board celebrates ignorance milestone,1,contempt
"Fantastic, Valentines specials on every menu",1,love
Book Launch Event Buzzes with Literary Excitement,0,excitement
Teen Courageously Organizes Lost Sock Collection Drive,1,sincerity
Coworkers declare meeting-free day a national holiday,1,relaxation
Baby Deer Frolics in Backyard Meadow,0,joy
Growth requires facing truths quietly,0,reflection
Love that companies preach work-life balance with 80-hour weeks,1,anger
New handbook offers guidance for small business owners,0,neutral
Park Service Maintains Trail Systems,0,neutral
"Flight Upgrade to First Class, Shocking",1,joy
Farmers Block Roads Protesting Corporate Seed Monopolies,0,activism
Managers ironic leadership tips spark unexpected creativity,1,empowerment
Historical Reenactment Turns into Real Conflict,0,drama
Manufacturing Sector Reports Production Levels,0,neutral
Athletes Heartfelt Post Written by PR Team,1,sincerity
"Oh wow, a politician remembered their campaign promises",1,surprise
"Grand, Taxidermists Stuffing Wrongly",1,admiration
Pet snuggled while watching movieloving,0,love
"New Park Where People Were Evicted, Heartwarming",1,somber irony
Mentorship Pairs Guide At-Risk Youth to Success,0,hope
"Dance Party Grooves, Music Skips Always",1,joy
Cloud Stays Motionless for Hours,1,curiosity
Scientists Prove Socks Escape to New Dimension,1,neutral
student loans: america's next financial crisis,0,concern
"Chronic Pain Sufferers Seek Relief, Options Limited",0,concern
Infinite Disbelief: Time Passes Quickly,1,surprise
"Oh Thrilling, Another Politician's 'Exciting' Empty Promise",1,excitement
"Fad Diet Surfaces, Promises Unrealistic Results",1,neutral
Wonderful! Flight delayed only six hours this time,1,surprise
Doctors alarmed by surge in rare childhood illness,0,fear
Soothing soundtrack: sirens and screaming outside,1,fear
"Billionaire's Yacht Sinks, He Swims to Shore with Pockets Full of Cash",1,humor
"Billionaire Buys Ocean, Charges for Waves, Clever",1,humor
Reality TV Drama: Fake Fights for Real Entertainment,1,excitement
Locals celebrate return of malls no one shops at,1,nostalgia
"Oh great, neighbors unite for education reform.",1,solidarity
Cant believe itcompany apologized without saying if you were offended,1,surprise
Wedding Planner Forgets Brides Name,0,embarrassment
Mayor insists everything is fine as city sinks,1,contempt
"Town Fails to Fix Parking Issues, Drivers Disapprove",0,disapproval
"Wow, another surprise meetingthrill overload",1,anticipation
Incredibleevery detour taught me the way,1,reflection
"Former Factory Site Turned Park, Sparking Community Longing",0,nostalgia
Child's Lemonade Stand Robbed of $12,0,sadness
Privacy Laws Fail to Protect Against Surveillance,0,fear
Breaking: scientists shocked by their own warnings,1,fear
Residents reminded to update emergency contact info,0,neutral
"CEO Spills Coffee on Tie, World-Class Blunder",1,embarrassment
Towns New Clocktower Chimes Wrong Time,0,embarrassment
"Amazing, more spam notifications today",1,anticipation
Town celebrates revival of polyester shirts and sweaty memories,1,nostalgia
Zoographer Maps Animal Habitats,0,admiration
Community Pond Drained for Repairs,0,sadness
"Sculptor's Work Adorns City Squares, Visitors Marvel",0,admiration
Man achieves zen by deleting half his to-do list,1,relaxation
Art Exhibit Opening Creates Artistic Excitement in City,0,excitement
Scientists Wonder If Naps Solve Global Warming,1,curiosity
Volunteers Donate Blood for Hospital,0,sincerity
"Therapists Insights Vulnerable, Clients Heal Instantly",1,sincerity
"Oh yes, hospitals overwhelmed againexciting times",1,somber irony
"Digital Divide Persists, Rural Areas Lack Internet Access",0,concern
"Storm kinda rough, entire city evacuates",1,intensity
"Lost Artifacts from Looting, Museums Mourn",0,concern
"Caregiver Fatigue Sets In, Families Overburdened",0,concern
"Greatspent years running, found myself in circles",1,reflection
"Town Bans Clotheslines for ""Aesthetics""",0,disapproval
Citizens rally for stricter punishment for hit-and-run,0,anger
"Volcano erupts with catastrophic force, residents flee",0,intensity
Extreme Weather Events Multiply Due to Warming,0,concern
Construction Company Bids on Project,0,neutral
"Rich Poorer Gap, Revolts Incoming",1,fear
"Stupendous, Wars Displacing Millions More",1,concern
Sibling baked favorite dessertfeeling loved,0,love
CEOs ironic empowerment seminar sparks creative projects,1,empowerment
Locals describe rain sounds as free therapy,0,relaxation
"Lovers Public Spat, Truly Oscar-Worthy",1,drama
"Another Bigfoot Print, Definitive Proof",1,curiosity
"Study: Meetings Fix Everything, Says No One",1,anger
Towns New Fountain Sprays Crowd at Opening,0,embarrassment
Perfect day to test my emergency kit,1,fear
Solo art exhibition completed,0,excitement
"Cool, Cultivating Imagination Perfectly",1,hope
"Unbelievable, Support Boosting Businesses Instantly",1,hope
Education Reforms Promise Better Access for All Children,0,hope
Study: Shouting Im Fine Fixes All,1,neutral
Women launch campaign for equal representation in councils,0,empowerment
"Plastics Kill Seas, Humans Choke Next",1,fear
Cant wait for the next blackout to test my survival skills,1,fear
"Government unveils Integrity Day, cancels next years",1,contempt
Beverage Company Launches Product Line,0,neutral
Income Inequality Widens Gap Between Classes,0,concern
Residents cope with extreme heat,0,somber irony
Neighbors Launch Initiatives to Foster Community Bonds,0,hope
Cartographer Maps Remote Regions,0,admiration
Diets 'Empower' You to Starve Fashionably,1,empowerment
Praise for the Faulty Public Wi-Fi Networks,1,anger
Water shortages threaten millions globally,0,somber irony
Jockey Wins Prestigious Races,0,admiration
"Adoption Finalized, New Family Portrait Taken",0,joy
Endless Sadness: Traffic 'Jams' for Ten Minutes,1,sadness
"Man Loses Umbrella, Life in Shambles",1,sadness
Protesters block capital roads demanding job guarantees,0,anger
City hosts exhibition on the evolution of household gadgets,0,nostalgia
Neighborhood Creates Memory Garden for Seniors,0,sincerity
"Airline Misplaces Luggage, World-Class Service",1,embarrassment
Film Makers Document Struggles Amplifying Marginalized Voices,0,activism
Student submits draft essay titled final_version_really_final.docx,0,embarrassment
Plant Leaks Chemicals into Drinking Water,0,disapproval
fifth baby barely showered,1,humor
Reflection begins when denial ends,0,reflection
"Great, system update failure at midnight",1,anticipation
Nations Pledge Support for Education in Developing Areas,0,hope
New transparency law hides more documents than ever,0,contempt
Housing Market Crash Predicted Amid Soaring Interest Rates,0,fear
Fitness Guru Empowers Followers with Unrealistic Body Goals,1,empowerment
"Town Names Wi-Fi Citizen of Year, Brilliant",1,admiration
Thrilled to attend upcoming charity event,0,anticipation
Power Grid Vulnerabilities Exposed to Attacks,0,fear
scott pruitt lands a second fawning conservative magazine profile,0,disapproval
"Public Transit Breaks Down, But Bikes Are Trendy",1,concern
Meteorologists warn of strongest hurricane in a decade,0,fear
Fans erupt in jubilation after unexpected victory,0,intensity
Incredible! My internet didnt crash during a video call,1,surprise
Residents evacuate after dam shows signs of collapse,0,fear
Seniors Clubs Advocate for Pension Protections Together,0,solidarity
